,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner
711,727917B,2014,Dubai International Cricket Stadium,Australia,Pakistan,40,1,57,2,0,0,97,3,Pakistan,bat,,Australia
712,1273139A,2021,Gucherre Cricket Ground,Portugal,Gibraltar,68,1,98,2,52,3,218,6,Gibraltar,field,Albergaria,Portugal
712,1273139B,2021,Gucherre Cricket Ground,Gibraltar,Portugal,39,4,53,2,16,2,108,8,Gibraltar,field,Albergaria,Portugal
713,754721A,2014,Stadium Australia,South Africa,Australia,53,0,67,3,25,3,145,6,Australia,field,Sydney,Australia
713,754721B,2014,Stadium Australia,Australia,South Africa,46,1,79,5,21,1,146,7,Australia,field,Sydney,Australia
714,1187014A,2019,Saurashtra Cricket Association Stadium,Bangladesh,India,54,0,69,4,30,2,153,6,India,field,Rajkot,India
714,1187014B,2019,Saurashtra Cricket Association Stadium,India,Bangladesh,63,0,91,2,0,0,154,2,India,field,Rajkot,India
715,567353A,2012,Kingsmead,New Zealand,South Africa,27,3,52,5,7,2,86,10,New Zealand,bat,Durban,South Africa
715,567353B,2012,Kingsmead,South Africa,New Zealand,46,2,41,0,0,0,87,2,New Zealand,bat,Durban,South Africa
716,1317483A,2022,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Australia,West Indies,45,1,91,3,42,2,178,6,West Indies,field,Brisbane,Australia
716,1317483B,2022,"Brisbane Cricket Ground, Woolloongabba, Brisbane",West Indies,Australia,45,1,74,4,28,3,147,8,West Indies,field,Brisbane,Australia
717,1327232A,2022,"Gaddafi Stadium, Lahore",Pakistan,England,43,2,75,6,27,2,145,10,England,field,Lahore,Pakistan
717,1327232B,2022,"Gaddafi Stadium, Lahore",England,Pakistan,42,3,55,1,42,1,139,5,England,field,Lahore,Pakistan
718,1089777A,2017,"Warner Park, Basseterre",West Indies,Afghanistan,52,1,60,2,0,0,112,3,West Indies,bat,St Kitts,West Indies
718,1089777B,2017,"Warner Park, Basseterre",Afghanistan,West Indies,28,3,65,7,0,0,93,10,West Indies,bat,St Kitts,West Indies
719,1183528A,2019,Manuka Oval,Pakistan,Australia,32,2,74,3,44,1,150,6,Pakistan,bat,Canberra,Australia
719,1183528B,2019,Manuka Oval,Australia,Pakistan,48,2,73,0,30,0,151,2,Pakistan,bat,Canberra,Australia
720,660123A,2013,Sharjah Cricket Stadium,Afghanistan,Scotland,68,2,80,2,23,2,171,6,Afghanistan,bat,,Afghanistan
720,660123B,2013,Sharjah Cricket Stadium,Scotland,Afghanistan,38,1,89,1,27,3,154,5,Afghanistan,bat,,Afghanistan
721,1320978A,2022,"Royal Brussels Cricket Club Ground, Waterloo",Hungary,Gibraltar,50,1,58,6,26,1,134,8,Gibraltar,field,Waterloo,Gibraltar
721,1320978B,2022,"Royal Brussels Cricket Club Ground, Waterloo",Gibraltar,Hungary,54,1,55,2,26,2,135,5,Gibraltar,field,Waterloo,Gibraltar
722,520597A,2012,Westpac Stadium,South Africa,New Zealand,38,3,72,2,37,1,147,6,New Zealand,field,Wellington,New Zealand
722,520597B,2012,Westpac Stadium,New Zealand,South Africa,44,0,74,2,30,2,148,4,New Zealand,field,Wellington,New Zealand
723,1283023A,2021,Gahanga International Cricket Stadium. Rwanda,Seychelles,Ghana,31,3,52,4,12,1,95,8,Seychelles,bat,Kigali City,Ghana
723,1283023B,2021,Gahanga International Cricket Stadium. Rwanda,Ghana,Seychelles,45,1,51,0,0,0,96,1,Seychelles,bat,Kigali City,Ghana
724,1283037A,2021,Gahanga International Cricket Stadium. Rwanda,Uganda,Ghana,43,0,85,2,48,4,176,6,Ghana,field,Kigali City,Uganda
724,1283037B,2021,Gahanga International Cricket Stadium. Rwanda,Ghana,Uganda,18,2,65,3,14,4,97,9,Ghana,field,Kigali City,Uganda
725,1117822A,2017,Gaddafi Stadium,Pakistan,ICC World XI,43,0,91,1,40,4,174,5,Pakistan,bat,Lahore,ICC World XI
725,1117822B,2017,Gaddafi Stadium,ICC World XI,Pakistan,49,1,75,2,51,0,175,3,Pakistan,bat,Lahore,ICC World XI
726,1321482A,2022,Bulawayo Athletic Club,Singapore,Jersey,30,0,71,3,39,2,140,5,Singapore,bat,Bulawayo,Jersey
726,1321482B,2022,Bulawayo Athletic Club,Jersey,Singapore,64,0,77,2,0,0,141,2,Singapore,bat,Bulawayo,Jersey
727,1323295A,2022,Harare Sports Club,Zimbabwe,Bangladesh,43,1,97,2,65,1,205,4,Zimbabwe,bat,Harare,Zimbabwe
727,1323295B,2022,Harare Sports Club,Bangladesh,Zimbabwe,60,1,86,4,42,1,188,6,Zimbabwe,bat,Harare,Zimbabwe
728,1321469A,2022,"Queens Sports Club, Bulawayo",Zimbabwe,Jersey,38,2,72,2,36,3,146,7,Jersey,field,Bulawayo,Zimbabwe
728,1321469B,2022,"Queens Sports Club, Bulawayo",Jersey,Zimbabwe,41,1,44,3,38,1,123,5,Jersey,field,Bulawayo,Zimbabwe
729,533272A,2012,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,Zimbabwe,53,0,76,3,53,1,182,4,Zimbabwe,field,Hambantota,Sri Lanka
729,533272B,2012,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Zimbabwe,Sri Lanka,39,2,48,4,13,2,100,8,Zimbabwe,field,Hambantota,Sri Lanka
730,1239540A,2021,"Trent Bridge, Nottingham",Pakistan,England,49,0,124,2,59,4,232,6,England,field,Nottingham,Pakistan
730,1239540B,2021,"Trent Bridge, Nottingham",England,Pakistan,69,3,108,2,24,5,201,10,England,field,Nottingham,Pakistan
731,1328471A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Kuwait,45,1,69,2,39,3,153,6,Kuwait,field,Al Amarat,Kuwait
731,1328471B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Kuwait,Bahrain,54,2,87,1,13,0,154,3,Kuwait,field,Al Amarat,Kuwait
732,1120095A,2017,Greenfield International Stadium,India,New Zealand,50,4,17,1,0,0,67,5,New Zealand,field,Thiruvananthapuram,India
732,1120095B,2017,Greenfield International Stadium,New Zealand,India,39,4,22,2,0,0,61,6,New Zealand,field,Thiruvananthapuram,India
733,1320987A,2022,"Royal Brussels Cricket Club Ground, Waterloo",Gibraltar,Malta,46,0,108,2,36,6,190,8,Gibraltar,bat,Waterloo,Malta
733,1320987B,2022,"Royal Brussels Cricket Club Ground, Waterloo",Malta,Gibraltar,48,1,134,1,14,0,196,2,Gibraltar,bat,Waterloo,Malta
734,1120094A,2017,Saurashtra Cricket Association Stadium,New Zealand,India,48,0,110,2,38,0,196,2,New Zealand,bat,Rajkot,New Zealand
734,1120094B,2017,Saurashtra Cricket Association Stadium,India,New Zealand,40,2,82,2,34,3,156,7,New Zealand,bat,Rajkot,New Zealand
735,1320986A,2022,"Royal Brussels Cricket Club Ground, Waterloo",Spain,Belgium,57,4,61,3,27,2,145,9,Spain,bat,Waterloo,Belgium
735,1320986B,2022,"Royal Brussels Cricket Club Ground, Waterloo",Belgium,Spain,28,1,87,3,34,1,149,5,Spain,bat,Waterloo,Belgium
736,1328470A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Kuwait,Bahrain,62,2,104,4,43,3,209,9,Bahrain,field,Al Amarat,Kuwait
736,1328470B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Bahrain,Kuwait,62,3,91,2,36,3,189,8,Bahrain,field,Al Amarat,Kuwait
737,1275039A,2021,Entebbe Cricket Oval,Nigeria,Kenya,33,3,47,4,27,1,107,8,Nigeria,bat,Entebbe,Kenya
737,1275039B,2021,Entebbe Cricket Oval,Kenya,Nigeria,64,1,44,1,0,0,108,2,Nigeria,bat,Entebbe,Kenya
738,1239541A,2021,"Headingley, Leeds",England,Pakistan,66,2,99,4,35,4,200,10,Pakistan,field,Leeds,England
738,1239541B,2021,"Headingley, Leeds",Pakistan,England,51,1,81,5,23,3,155,9,Pakistan,field,Leeds,England
739,1321468A,2022,Bulawayo Athletic Club,Hong Kong,Uganda,21,1,51,3,15,3,87,7,Hong Kong,bat,Bulawayo,Uganda
739,1321468B,2022,Bulawayo Athletic Club,Uganda,Hong Kong,33,3,39,2,16,1,88,6,Hong Kong,bat,Bulawayo,Uganda
740,533273A,2012,R Premadasa Stadium,Ireland,Australia,29,3,62,2,32,1,123,6,Ireland,bat,Colombo,Australia
740,533273B,2012,R Premadasa Stadium,Australia,Ireland,53,0,72,2,0,0,125,2,Ireland,bat,Colombo,Australia
741,1283036A,2021,Integrated Polytechnic Regional Centre,Rwanda,Lesotho,59,3,43,4,0,0,102,7,Rwanda,bat,Kigali City,Rwanda
741,1283036B,2021,Integrated Polytechnic Regional Centre,Lesotho,Rwanda,48,3,32,4,0,0,80,7,Rwanda,bat,Kigali City,Rwanda
742,533298A,2012,R Premadasa Stadium,West Indies,Sri Lanka,14,1,75,1,48,1,137,3,West Indies,bat,Colombo,West Indies
742,533298B,2012,R Premadasa Stadium,Sri Lanka,West Indies,30,1,64,6,7,3,101,10,West Indies,bat,Colombo,West Indies
743,1321483A,2022,Bulawayo Athletic Club,Papua New Guinea,United States of America,51,3,45,5,1,1,97,9,United States of America,field,Bulawayo,Papua New Guinea
743,1321483B,2022,Bulawayo Athletic Club,United States of America,Papua New Guinea,22,3,56,3,14,3,92,9,United States of America,field,Bulawayo,Papua New Guinea
744,1283022A,2021,Integrated Polytechnic Regional Centre,Swaziland,Lesotho,56,1,92,1,46,2,194,4,Swaziland,bat,Kigali City,Swaziland
744,1283022B,2021,Integrated Polytechnic Regional Centre,Lesotho,Swaziland,70,3,59,4,11,1,140,8,Swaziland,bat,Kigali City,Swaziland
745,520596A,2012,Seddon Park,Zimbabwe,New Zealand,65,0,88,2,47,0,200,2,Zimbabwe,bat,Hamilton,New Zealand
745,520596B,2012,Seddon Park,New Zealand,Zimbabwe,49,0,108,2,45,3,202,5,Zimbabwe,bat,Hamilton,New Zealand
746,300435A,2008,Eden Park,England,New Zealand,59,2,89,2,36,3,184,7,New Zealand,field,Auckland,England
746,300435B,2008,Eden Park,New Zealand,England,43,1,86,6,23,2,152,9,New Zealand,field,Auckland,England
747,1307478A,2022,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",New Zealand,Scotland,62,2,122,2,70,1,254,5,New Zealand,bat,Edinburgh,New Zealand
747,1307478B,2022,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,New Zealand,54,3,74,3,24,2,152,8,New Zealand,bat,Edinburgh,New Zealand
748,1320979A,2022,"Meersen, Gent",Malta,Israel,37,2,83,4,16,3,136,9,Israel,field,Ghent,Malta
748,1320979B,2022,"Meersen, Gent",Israel,Malta,43,2,48,4,29,1,120,7,Israel,field,Ghent,Malta
749,1089776A,2017,"Warner Park, Basseterre",Afghanistan,West Indies,32,3,37,4,41,2,110,9,Afghanistan,bat,St Kitts,West Indies
749,1089776B,2017,"Warner Park, Basseterre",West Indies,Afghanistan,58,1,51,3,5,0,114,4,Afghanistan,bat,St Kitts,West Indies
750,1327233A,2022,"Gaddafi Stadium, Lahore",Pakistan,England,40,1,87,2,42,2,169,5,England,field,Lahore,England
750,1327233B,2022,"Gaddafi Stadium, Lahore",England,Pakistan,82,1,88,0,0,0,170,1,England,field,Lahore,England
751,1183529A,2019,Perth Stadium,Pakistan,Australia,34,2,58,3,14,2,106,7,Australia,field,Perth,Australia
751,1183529B,2019,Perth Stadium,Australia,Pakistan,56,0,53,0,0,0,109,0,Australia,field,Perth,Australia
752,875485A,2015,"Grange Cricket Club Ground, Raeburn Place",Afghanistan,Scotland,64,0,83,3,63,1,210,4,Afghanistan,bat,Edinburgh,Afghanistan
752,875485B,2015,"Grange Cricket Club Ground, Raeburn Place",Scotland,Afghanistan,48,2,105,3,20,5,173,10,Afghanistan,bat,Edinburgh,Afghanistan
753,875491A,2015,"Civil Service Cricket Club, Stormont",Nepal,Ireland,28,2,25,6,0,0,53,8,Ireland,field,Belfast,Ireland
753,875491B,2015,"Civil Service Cricket Club, Stormont",Ireland,Nepal,38,1,16,1,0,0,54,2,Ireland,field,Belfast,Ireland
754,1109610A,2017,"R.Premadasa Stadium, Khettarama",Sri Lanka,India,60,2,67,3,43,1,170,6,India,field,Colombo,India
754,1109610B,2017,"R.Premadasa Stadium, Khettarama",India,Sri Lanka,43,2,99,0,32,1,174,3,India,field,Colombo,India
755,251487A,2006,Westpac Stadium,New Zealand,Sri Lanka,66,0,69,3,27,3,162,6,New Zealand,bat,Wellington,Sri Lanka
755,251487B,2006,Westpac Stadium,Sri Lanka,New Zealand,62,1,0,0,0,0,62,1,New Zealand,bat,Wellington,Sri Lanka
756,1317482A,2022,Carrara Oval,West Indies,Australia,53,1,52,3,40,3,145,7,Australia,field,Carrara,Australia
756,1317482B,2022,Carrara Oval,Australia,West Indies,56,3,62,2,28,2,146,7,Australia,field,Carrara,Australia
757,1263471A,2022,Sydney Cricket Ground,Australia,Sri Lanka,37,1,87,3,25,4,149,8,Sri Lanka,field,Sydney,Australia
757,1263471B,2022,Sydney Cricket Ground,Sri Lanka,Australia,30,2,63,5,29,1,122,8,Sri Lanka,field,Sydney,Australia
758,967081A,2016,ICC Academy,Netherlands,United Arab Emirates,33,1,93,1,31,3,157,5,United Arab Emirates,field,Dubai,Netherlands
758,967081B,2016,ICC Academy,United Arab Emirates,Netherlands,17,4,55,3,1,1,73,8,United Arab Emirates,field,Dubai,Netherlands
759,1187015A,2019,"Vidarbha Cricket Association Stadium, Jamtha",India,Bangladesh,41,2,98,1,35,2,174,5,Bangladesh,field,Nagpur,India
759,1187015B,2019,"Vidarbha Cricket Association Stadium, Jamtha",Bangladesh,India,33,2,93,4,18,4,144,10,Bangladesh,field,Nagpur,India
760,1273138A,2021,Gucherre Cricket Ground,Malta,Gibraltar,42,3,94,0,61,0,197,3,Gibraltar,field,Albergaria,Malta
760,1273138B,2021,Gucherre Cricket Ground,Gibraltar,Malta,38,0,103,1,52,1,193,2,Gibraltar,field,Albergaria,Malta
761,1276915A,2022,"The Rose Bowl, Southampton",South Africa,England,53,1,88,1,50,3,191,5,England,field,Southampton,South Africa
761,1276915B,2022,"The Rose Bowl, Southampton",England,South Africa,39,2,58,6,4,1,101,9,England,field,Southampton,South Africa
762,1172507A,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Netherlands,30,1,91,0,45,2,166,3,Netherlands,field,Al Amarat,Netherlands
762,1172507B,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Netherlands,Oman,56,0,89,2,22,0,167,2,Netherlands,field,Al Amarat,Netherlands
763,636166A,2014,Stadium Australia,Australia,England,41,0,98,6,56,0,195,6,Australia,bat,Sydney,Australia
763,636166B,2014,Stadium Australia,England,Australia,31,3,73,5,7,2,111,10,Australia,bat,Sydney,Australia
764,211048A,2005,Eden Park,Australia,New Zealand,58,4,89,1,67,0,214,5,Australia,bat,Auckland,Australia
764,211048B,2005,Eden Park,New Zealand,Australia,52,2,74,5,44,3,170,10,Australia,bat,Auckland,Australia
765,1289043A,2021,Integrated Polytechnic Regional Centre,Kenya,Uganda,23,1,78,3,60,1,161,5,Kenya,bat,Kigali City,Kenya
765,1289043B,2021,Integrated Polytechnic Regional Centre,Uganda,Kenya,21,4,98,1,41,1,160,6,Kenya,bat,Kigali City,Kenya
766,1083449A,2017,R Premadasa Stadium,Bangladesh,Sri Lanka,58,3,65,2,32,1,155,6,Bangladesh,bat,Colombo,Sri Lanka
766,1083449B,2017,R Premadasa Stadium,Sri Lanka,Bangladesh,57,0,70,3,31,1,158,4,Bangladesh,bat,Colombo,Sri Lanka
767,569237A,2013,Eden Park,England,New Zealand,62,1,111,3,41,3,214,7,New Zealand,field,Auckland,England
767,569237B,2013,Eden Park,New Zealand,England,54,2,81,5,39,2,174,9,New Zealand,field,Auckland,England
768,412691A,2010,"Kensington Oval, Bridgetown",Australia,India,53,0,108,2,23,3,184,5,India,field,Barbados,Australia
768,412691B,2010,"Kensington Oval, Bridgetown",India,Australia,24,4,93,4,18,2,135,10,India,field,Barbados,Australia
769,951335A,2016,Eden Gardens,Afghanistan,Sri Lanka,36,1,69,2,48,3,153,6,Afghanistan,bat,Kolkata,Sri Lanka
769,951335B,2016,Eden Gardens,Sri Lanka,Afghanistan,41,1,79,3,35,0,155,4,Afghanistan,bat,Kolkata,Sri Lanka
770,1153318A,2018,"Shere Bangla National Stadium, Mirpur",Bangladesh,West Indies,61,1,98,3,52,0,211,4,West Indies,field,Dhaka,Bangladesh
770,1153318B,2018,"Shere Bangla National Stadium, Mirpur",West Indies,Bangladesh,70,3,81,5,24,2,175,10,West Indies,field,Dhaka,Bangladesh
771,951321A,2016,"Vidarbha Cricket Association Stadium, Jamtha",Afghanistan,Zimbabwe,55,2,75,2,56,2,186,6,Afghanistan,bat,Nagpur,Afghanistan
771,951321B,2016,"Vidarbha Cricket Association Stadium, Jamtha",Zimbabwe,Afghanistan,39,1,56,6,32,3,127,10,Afghanistan,bat,Nagpur,Afghanistan
772,1273716A,2021,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Scotland,Papua New Guinea,37,2,98,1,30,6,165,9,Scotland,bat,Al Amarat,Scotland
772,1273716B,2021,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Papua New Guinea,Scotland,35,5,85,1,28,4,148,10,Scotland,bat,Al Amarat,Scotland
773,412685A,2010,Providence Stadium,England,West Indies,60,1,71,2,60,1,191,4,West Indies,field,Guyana,West Indies
773,412685B,2010,Providence Stadium,West Indies,England,60,2,0,0,0,0,60,2,West Indies,field,Guyana,West Indies
774,1122287A,2018,Newlands,India,South Africa,57,0,73,3,42,2,172,5,South Africa,field,Cape Town,India
774,1122287B,2018,Newlands,South Africa,India,25,1,84,3,56,2,165,6,South Africa,field,Cape Town,India
775,951309A,2016,Himachal Pradesh Cricket Association Stadium,Bangladesh,Netherlands,33,1,82,3,38,2,153,6,Netherlands,field,Dharamsala,Bangladesh
775,951309B,2016,Himachal Pradesh Cricket Association Stadium,Netherlands,Bangladesh,39,1,73,3,33,3,145,7,Netherlands,field,Dharamsala,Bangladesh
776,562438A,2012,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Pakistan,Sri Lanka,18,1,71,1,33,2,122,4,Pakistan,bat,Hambantota,Pakistan
776,562438B,2012,"Mahinda Rajapaksa International Cricket Stadium, Sooriyawewa",Sri Lanka,Pakistan,31,2,53,3,15,5,99,10,Pakistan,bat,Hambantota,Pakistan
777,1197400A,2019,"White Hill Field, Sandys Parish",Cayman Islands,Bermuda,31,0,66,3,19,6,116,9,Cayman Islands,bat,Hamilton,Bermuda
777,1197400B,2019,"White Hill Field, Sandys Parish",Bermuda,Cayman Islands,35,1,82,2,0,0,117,3,Cayman Islands,bat,Hamilton,Bermuda
778,1074957A,2017,Sheikh Zayed Stadium,Scotland,Hong Kong,47,0,97,1,45,1,189,2,Scotland,bat,Abu Dhabi,Scotland
778,1074957B,2017,Sheikh Zayed Stadium,Hong Kong,Scotland,41,3,75,1,49,1,165,5,Scotland,bat,Abu Dhabi,Scotland
779,1282738A,2021,"Desert Springs Cricket Ground, Almeria",Jersey,Germany,35,1,71,3,31,3,137,7,Germany,field,Almeria,Jersey
779,1282738B,2021,"Desert Springs Cricket Ground, Almeria",Germany,Jersey,50,0,48,4,35,1,133,5,Germany,field,Almeria,Jersey
780,1278680A,2022,"Eden Gardens, Kolkata",India,West Indies,49,1,90,3,47,1,186,5,West Indies,field,Kolkata,India
780,1278680B,2022,"Eden Gardens, Kolkata",West Indies,India,41,1,93,1,44,1,178,3,West Indies,field,Kolkata,India
781,1197399A,2019,National Stadium,Cayman Islands,United States of America,20,3,29,3,19,2,68,8,United States of America,field,Hamilton,United States of America
781,1197399B,2019,National Stadium,United States of America,Cayman Islands,18,1,42,2,0,0,60,3,United States of America,field,Hamilton,United States of America
782,456992A,2010,Central Broward Regional Park Stadium Turf Ground,New Zealand,Sri Lanka,17,2,60,2,4,2,81,6,New Zealand,bat,Lauderhill,Sri Lanka
782,456992B,2010,Central Broward Regional Park Stadium Turf Ground,Sri Lanka,New Zealand,29,1,53,2,0,0,82,3,New Zealand,bat,Lauderhill,Sri Lanka
783,1127300A,2018,"Grange Cricket Club, Raeburn Place",Pakistan,Scotland,50,2,94,1,60,1,204,4,Pakistan,bat,Edinburgh,Pakistan
783,1127300B,2018,"Grange Cricket Club, Raeburn Place",Scotland,Pakistan,56,1,55,3,45,1,156,5,Pakistan,bat,Edinburgh,Pakistan
784,1133822A,2018,"R.Premadasa Stadium, Khettarama",Sri Lanka,Bangladesh,35,4,75,1,49,2,159,7,Bangladesh,field,Colombo,Bangladesh
784,1133822B,2018,"R.Premadasa Stadium, Khettarama",Bangladesh,Sri Lanka,50,2,70,3,40,3,160,8,Bangladesh,field,Colombo,Bangladesh
785,1263713A,2021,"Scott Page Field, Vinor",Czech Republic,Austria,51,1,97,2,8,1,156,4,Czech Republic,bat,Prague,Austria
785,1263713B,2021,"Scott Page Field, Vinor",Austria,Czech Republic,72,1,84,5,5,0,161,6,Czech Republic,bat,Prague,Austria
786,1307295A,2022,Pallekele International Cricket Stadium,Australia,Sri Lanka,49,1,84,3,43,0,176,4,Australia,bat,Kandy,Sri Lanka
786,1307295B,2022,Pallekele International Cricket Stadium,Sri Lanka,Australia,49,1,63,4,65,0,177,5,Australia,bat,Kandy,Sri Lanka
787,1273272A,2021,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Zimbabwe,Scotland,38,3,61,2,37,0,136,5,Zimbabwe,bat,Edinburgh,Zimbabwe
787,1273272B,2021,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Scotland,Zimbabwe,26,4,76,1,24,5,126,10,Zimbabwe,bat,Edinburgh,Zimbabwe
788,1317904A,2022,"Warner Park, Basseterre, St Kitts",India,West Indies,56,3,56,2,26,5,138,10,West Indies,field,Basseterre,West Indies
788,1317904B,2022,"Warner Park, Basseterre, St Kitts",West Indies,India,46,0,62,4,33,1,141,5,West Indies,field,Basseterre,West Indies
789,1322001A,2022,"UKM-YSD Cricket Oval, Bangi",Thailand,Malaysia,17,2,13,4,0,0,30,6,Thailand,bat,Bangi,Malaysia
789,1322001B,2022,"UKM-YSD Cricket Oval, Bangi",Malaysia,Thailand,34,1,0,0,0,0,34,1,Thailand,bat,Bangi,Malaysia
790,1158073A,2019,"Warner Park, St Kitts",West Indies,England,30,4,41,6,0,0,71,10,West Indies,bat,Basseterre,England
790,1158073B,2019,"Warner Park, St Kitts",England,West Indies,39,1,33,1,0,0,72,2,West Indies,bat,Basseterre,England
791,1317910A,2022,"Sabina Park, Kingston, Jamaica",New Zealand,West Indies,47,1,69,3,29,3,145,7,New Zealand,bat,Kingston,West Indies
791,1317910B,2022,"Sabina Park, Kingston, Jamaica",West Indies,New Zealand,48,0,74,2,28,0,150,2,New Zealand,bat,Kingston,West Indies
792,1321291A,2022,Tikkurila Cricket Ground,Slovenia,Bulgaria,44,0,66,4,30,4,140,8,Bulgaria,field,Vantaa,Bulgaria
792,1321291B,2022,Tikkurila Cricket Ground,Bulgaria,Slovenia,40,0,63,4,40,3,143,7,Bulgaria,field,Vantaa,Bulgaria
793,682951A,2014,Shere Bangla National Stadium,India,Australia,44,1,68,3,47,3,159,7,Australia,field,Mirpur,India
793,682951B,2014,Shere Bangla National Stadium,Australia,India,27,3,59,6,0,1,86,10,Australia,field,Mirpur,India
794,1318362A,2022,Bayer Uerdingen Cricket Ground,Germany,Sweden,44,1,79,2,28,5,151,8,Germany,bat,Krefeld,Germany
794,1318362B,2022,Bayer Uerdingen Cricket Ground,Sweden,Germany,48,1,58,3,16,4,122,8,Germany,bat,Krefeld,Germany
795,682945A,2014,Zahur Ahmed Chowdhury Stadium,Netherlands,New Zealand,37,1,84,2,30,1,151,4,New Zealand,field,Chittagong,New Zealand
795,682945B,2014,Zahur Ahmed Chowdhury Stadium,New Zealand,Netherlands,42,1,81,2,29,1,152,4,New Zealand,field,Chittagong,New Zealand
796,936153A,2017,SuperSport Park,South Africa,Sri Lanka,63,2,63,2,0,0,126,4,Sri Lanka,field,Centurion,South Africa
796,936153B,2017,SuperSport Park,Sri Lanka,South Africa,73,2,34,4,0,0,107,6,Sri Lanka,field,Centurion,South Africa
797,1153697A,2019,Eden Park,New Zealand,India,43,2,86,1,29,3,158,6,New Zealand,bat,Auckland,India
797,1153697B,2019,Eden Park,India,New Zealand,50,0,85,3,27,0,162,3,New Zealand,bat,Auckland,India
798,1229824A,2020,College Field,Isle of Man,Guernsey,35,2,40,2,25,5,100,9,Isle of Man,bat,St Peter Port,Guernsey
798,1229824B,2020,College Field,Guernsey,Isle of Man,41,1,60,1,0,0,101,2,Isle of Man,bat,St Peter Port,Guernsey
799,1282279A,2021,Marsa Sports Club,Malta,Switzerland,37,2,81,3,58,1,176,6,Malta,bat,Marsa,Malta
799,1282279B,2021,Marsa Sports Club,Switzerland,Malta,68,1,71,3,31,4,170,8,Malta,bat,Marsa,Malta
800,350347A,2008,New Wanderers Stadium,South Africa,Bangladesh,62,2,56,5,0,0,118,7,Bangladesh,field,Johannesburg,South Africa
800,350347B,2008,New Wanderers Stadium,Bangladesh,South Africa,63,2,46,6,0,0,109,8,Bangladesh,field,Johannesburg,South Africa
801,966755A,2016,Shere Bangla National Stadium,United Arab Emirates,Pakistan,20,3,80,2,29,1,129,6,United Arab Emirates,bat,Mirpur,Pakistan
801,966755B,2016,Shere Bangla National Stadium,Pakistan,United Arab Emirates,26,2,65,0,40,0,131,2,United Arab Emirates,bat,Mirpur,Pakistan
802,1215139A,2020,Kinrara Academy Oval,Malaysia,Hong Kong,48,1,86,2,33,4,167,7,Malaysia,bat,Kuala Lumpur,Malaysia
802,1215139B,2020,Kinrara Academy Oval,Hong Kong,Malaysia,53,1,61,3,40,3,154,7,Malaysia,bat,Kuala Lumpur,Malaysia
803,966741A,2016,Shere Bangla National Stadium,Afghanistan,Hong Kong,48,1,87,3,43,3,178,7,Hong Kong,field,Mirpur,Afghanistan
803,966741B,2016,Shere Bangla National Stadium,Hong Kong,Afghanistan,55,0,55,6,2,1,112,7,Hong Kong,field,Mirpur,Afghanistan
804,1193496A,2019,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Afghanistan,West Indies,32,2,82,2,42,4,156,8,Afghanistan,bat,Lucknow,Afghanistan
804,1193496B,2019,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,West Indies,Afghanistan,32,2,72,1,23,3,127,6,Afghanistan,bat,Lucknow,Afghanistan
805,1321288A,2022,Kerava National Cricket Ground,Guernsey,Luxembourg,28,3,73,1,30,0,131,4,Luxembourg,field,Kerava,Guernsey
805,1321288B,2022,Kerava National Cricket Ground,Luxembourg,Guernsey,13,2,74,2,27,2,114,6,Luxembourg,field,Kerava,Guernsey
806,1321263A,2022,Tikkurila Cricket Ground,Isle of Man,Serbia,58,2,71,4,36,1,165,7,Serbia,field,Vantaa,Isle of Man
806,1321263B,2022,Tikkurila Cricket Ground,Serbia,Isle of Man,24,2,63,5,10,0,97,7,Serbia,field,Vantaa,Isle of Man
807,1317909A,2022,"Sabina Park, Kingston, Jamaica",New Zealand,West Indies,43,2,123,0,49,2,215,4,New Zealand,bat,Kingston,New Zealand
807,1317909B,2022,"Sabina Park, Kingston, Jamaica",West Indies,New Zealand,19,3,68,3,38,1,125,7,New Zealand,bat,Kingston,New Zealand
