,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner
1372,1282740B,2021,"Desert Springs Cricket Ground, Almeria",Germany,Denmark,25,1,65,2,22,1,112,4,Denmark,bat,Almeria,Germany
1373,1040485A,2017,Greater Noida Sports Complex Ground,Ireland,Afghanistan,48,1,75,3,42,1,165,5,Ireland,bat,Greater Noida,Afghanistan
1373,1040485B,2017,Greater Noida Sports Complex Ground,Afghanistan,Ireland,66,1,93,1,12,2,171,4,Ireland,bat,Greater Noida,Afghanistan
1374,682929A,2014,Shere Bangla National Stadium,West Indies,India,24,0,59,3,46,3,129,6,India,field,Mirpur,India
1374,682929B,2014,Shere Bangla National Stadium,India,West Indies,48,0,65,1,17,1,130,2,India,field,Mirpur,India
1375,543883A,2012,Mombasa Sports Club Ground,Kenya,Ireland,29,2,60,4,18,3,107,9,Ireland,field,,Ireland
1375,543883B,2012,Mombasa Sports Club Ground,Ireland,Kenya,41,3,68,1,0,0,109,4,Ireland,field,,Ireland
1376,682901A,2014,Sylhet Stadium,Zimbabwe,Ireland,56,1,73,3,34,1,163,5,Ireland,field,,Ireland
1376,682901B,2014,Sylhet Stadium,Ireland,Zimbabwe,61,0,76,4,27,3,164,7,Ireland,field,,Ireland
1377,868725A,2015,Gaddafi Stadium,Zimbabwe,Pakistan,50,0,82,1,43,2,175,3,Zimbabwe,bat,Lahore,Pakistan
1377,868725B,2015,Gaddafi Stadium,Pakistan,Zimbabwe,47,1,97,4,32,2,176,7,Zimbabwe,bat,Lahore,Pakistan
1378,1299638A,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),United Arab Emirates,Nepal,60,1,88,1,44,1,192,3,Nepal,field,Al Amarat,United Arab Emirates
1378,1299638B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,United Arab Emirates,53,1,76,2,38,2,167,5,Nepal,field,Al Amarat,United Arab Emirates
1379,1215164A,2020,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,Qatar,51,1,57,3,14,2,122,6,United Arab Emirates,bat,Al Amarat,United Arab Emirates
1379,1215164B,2020,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Qatar,United Arab Emirates,18,2,50,4,26,3,94,9,United Arab Emirates,bat,Al Amarat,United Arab Emirates
1380,682915A,2014,Zahur Ahmed Chowdhury Stadium,Bangladesh,Hong Kong,51,2,56,6,1,1,108,9,Hong Kong,field,Chittagong,Hong Kong
1380,682915B,2014,Zahur Ahmed Chowdhury Stadium,Hong Kong,Bangladesh,36,1,47,3,31,1,114,5,Hong Kong,field,Chittagong,Hong Kong
1381,636536A,2014,"Kensington Oval, Bridgetown",West Indies,England,56,0,66,2,48,0,170,2,West Indies,bat,Barbados,West Indies
1381,636536B,2014,"Kensington Oval, Bridgetown",England,West Indies,36,2,71,5,36,2,143,9,West Indies,bat,Barbados,West Indies
1382,1142916A,2018,Harare Sports Club,Zimbabwe,Pakistan,46,0,82,2,34,2,162,4,Pakistan,field,,Pakistan
1382,1142916B,2018,Harare Sports Club,Pakistan,Zimbabwe,56,0,75,2,32,1,163,3,Pakistan,field,,Pakistan
1383,682939A,2014,Zahur Ahmed Chowdhury Stadium,Sri Lanka,England,42,1,101,0,46,3,189,4,England,field,Chittagong,England
1383,682939B,2014,Zahur Ahmed Chowdhury Stadium,England,Sri Lanka,37,2,114,0,39,2,190,4,England,field,Chittagong,England
1384,682911A,2014,Sylhet Stadium,United Arab Emirates,Ireland,46,1,48,4,29,1,123,6,Ireland,field,,Ireland
1384,682911B,2014,Sylhet Stadium,Ireland,United Arab Emirates,51,1,52,3,0,0,103,4,Ireland,field,,Ireland
1385,1201673A,2019,La Manga Club Bottom Ground,Gibraltar,Spain,36,2,40,4,19,3,95,9,Spain,field,Murcia,Spain
1385,1201673B,2019,La Manga Club Bottom Ground,Spain,Gibraltar,26,1,70,2,0,0,96,3,Spain,field,Murcia,Spain
1386,1215160A,2020,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),United Arab Emirates,Saudi Arabia,54,1,84,3,12,5,150,9,United Arab Emirates,bat,Al Amarat,United Arab Emirates
1386,1215160B,2020,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Saudi Arabia,United Arab Emirates,44,1,61,3,33,3,138,7,United Arab Emirates,bat,Al Amarat,United Arab Emirates
1387,356009A,2009,Lord's,Sri Lanka,Ireland,28,2,83,1,33,5,144,8,Sri Lanka,bat,London,Sri Lanka
1387,356009B,2009,Lord's,Ireland,Sri Lanka,37,0,57,4,41,3,135,7,Sri Lanka,bat,London,Sri Lanka
1388,556252A,2012,New Wanderers Stadium,South Africa,India,55,1,93,1,71,2,219,4,India,field,Johannesburg,South Africa
1388,556252B,2012,New Wanderers Stadium,India,South Africa,51,0,20,0,0,0,71,0,India,field,Johannesburg,South Africa
