,id,year,venue,team_A,team_B,Runs_in_Powerplay,Wickets_lost_in_Powerplay,Runs_in_middle_overs,Wickets_lost_in_middle_overs,Runs_in_Death_overs,Wickets_lost_in_death_overs,Total_Score_A,Total_Wicket_A,toss_winner,toss_decision,city,winner,event
213,1299580B,2022,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,United Arab Emirates,45,2,51,4,11,2,107,8,United Arab Emirates,bat,Al Amarat,United Arab Emirates,ICC Men's T20 World Cup Qualifier A
214,1213875A,2020,Pallekele International Cricket Stadium,Sri Lanka,West Indies,44,1,65,4,46,1,155,6,West Indies,field,Kandy,West Indies,West Indies tour of Sri Lanka
214,1213875B,2020,Pallekele International Cricket Stadium,West Indies,Sri Lanka,61,1,88,2,9,0,158,3,West Indies,field,Kandy,West Indies,West Indies tour of Sri Lanka
215,1199510A,2019,ICC Academy Ground No 2,Bermuda,Singapore,25,2,77,2,47,3,149,7,Bermuda,bat,Dubai,Singapore,ICC Men's T20 World Cup Qualifier
215,1199510B,2019,ICC Academy Ground No 2,Singapore,Bermuda,29,1,84,2,39,1,152,4,Bermuda,bat,Dubai,Singapore,ICC Men's T20 World Cup Qualifier
216,1197529A,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Nepal,Oman,46,6,18,4,0,0,64,10,Oman,field,Al Amarat,Oman,Oman Pentangular T20I Series
216,1197529B,2019,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Oman,Nepal,23,2,42,2,0,0,65,4,Oman,field,Al Amarat,Oman,Oman Pentangular T20I Series
217,1199504A,2019,Sheikh Zayed Stadium,Jersey,Nigeria,57,2,81,0,46,1,184,3,Jersey,bat,Abu Dhabi,Jersey,ICC Men's T20 World Cup Qualifier
217,1199504B,2019,Sheikh Zayed Stadium,Nigeria,Jersey,40,2,52,2,23,1,115,5,Jersey,bat,Abu Dhabi,Jersey,ICC Men's T20 World Cup Qualifier
218,1275272A,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Romania,Hungary,55,3,93,0,47,2,195,5,Romania,bat,Ilfov County,Romania,Continental Cup
218,1275272B,2021,"Moara Vlasiei Cricket Ground, Ilfov County",Hungary,Romania,66,2,90,2,31,4,187,8,Romania,bat,Ilfov County,Romania,Continental Cup
219,953345A,2016,Sharjah Cricket Stadium,Afghanistan,Zimbabwe,62,0,68,4,57,3,187,7,Afghanistan,bat,,Afghanistan,Afghanistan v Zimbabwe T20I Series
219,953345B,2016,Sharjah Cricket Stadium,Zimbabwe,Afghanistan,54,2,82,2,46,3,182,7,Afghanistan,bat,,Afghanistan,Afghanistan v Zimbabwe T20I Series
220,361531A,2008,"Civil Service Cricket Club, Stormont",Scotland,Netherlands,35,0,53,3,19,5,107,8,Netherlands,field,Belfast,Netherlands,ICC World Twenty20 Qualifier
220,361531B,2008,"Civil Service Cricket Club, Stormont",Netherlands,Scotland,41,1,43,4,26,0,110,5,Netherlands,field,Belfast,Netherlands,ICC World Twenty20 Qualifier
221,1310165A,2022,"Desert Springs Cricket Ground, Almeria",Spain,Guernsey,13,1,65,4,29,5,107,10,Spain,bat,Almeria,Guernsey,Spain Triangular T20I Series
221,1310165B,2022,"Desert Springs Cricket Ground, Almeria",Guernsey,Spain,41,1,52,1,18,0,111,2,Spain,bat,Almeria,Guernsey,Spain Triangular T20I Series
222,1286675A,2021,"Sir Vivian Richards Stadium, North Sound, Antigua",Argentina,Belize,43,3,89,1,39,0,171,4,Argentina,bat,North Sound,Argentina,ICC Men's T20 World Cup Americas Region Qualifier
222,1286675B,2021,"Sir Vivian Richards Stadium, North Sound, Antigua",Belize,Argentina,35,5,62,2,15,1,112,8,Argentina,bat,North Sound,Argentina,ICC Men's T20 World Cup Americas Region Qualifier
223,1310171A,2022,Marsa Sports Club,Malta,Hungary,53,1,105,3,48,3,206,7,Hungary,field,Marsa,Malta,Valletta Cup
223,1310171B,2022,Marsa Sports Club,Hungary,Malta,42,1,90,3,29,2,161,6,Hungary,field,Marsa,Malta,Valletta Cup
224,1317150A,2022,"Windsor Park, Roseau, Dominica",West Indies,Bangladesh,46,2,96,0,51,2,193,4,West Indies,bat,Roseau,West Indies,Bangladesh tour of West Indies
224,1317150B,2022,"Windsor Park, Roseau, Dominica",Bangladesh,West Indies,44,3,62,2,52,1,158,6,West Indies,bat,Roseau,West Indies,Bangladesh tour of West Indies
225,1283043A,2021,Gahanga International Cricket Stadium. Rwanda,Tanzania,Mozambique,92,2,104,1,46,3,242,6,Tanzania,bat,Kigali City,Tanzania,ICC Men's T20 World Cup Sub Regional Africa Qualifier
